Description,DescValue
code,388
gi,38
plan,739
drainage,106
soil,39
mechanics,36
structural,185
analyses,399
loadings,2
conduct,1056
document,304
right,60
way,67
on-site,95
duties,1885
identifying,186
potential,284
locations,159
hydraulic,68
drawings,292
write,71
prepare,919
estimates,194
quantities,41
investigations,782
examine,60
demolition,32
alteration,55
provisions,44
rule,30
regulation,42
check,125
shop,69
observing,36
checking,94
certifying,54
installation,197
materials/equipment,10
attests,8
tests,155
engage,156
research,1419
studies,349
functions,607
make,513
dep,1715
bureaus,285
stakeholder,54
community,1939
school,1183
health,5983
osh,223
joint,105
education,1069
mental,988
hygiene,392
1.3,607
million,1275
aged,23
children,554
enrolled,164
"1,800",130
non-public,118
schools,497
achieved,42
combination,44
case,865
clinical,350
physicians,66
served,56
students,358
century,46
additional,297
information,1910
regarding,500
role,442
physician,114
please,338
refer,60
american,26
academy,77
pediatrics,16
policy,1175
statement:,18
http://pedicatrics.aapublications.org/content/pediatrics/131/1/178.full.pdf,12
to:,1021
supervising,251
physician's,18
will:,235
within,1586
mandates,80
policies,1096
protocols,259
chronic,191
disease,428
preventive,291
screening,189
counseling,175
mandated,143
physical,372
examination,79
entrant,18
sport,21
paper,56
physicals,22
relationships,416
providers,518
optimize,47
medical,721
issues,1471
attend,238
assigned,1129
utilize,192
automated,166
student,156
record,222
ashr,60
maintain,1261
adequate,118
consultant,246
nurse,129
administration,884
concerns,133
support,3051
educational,174
prevention,429
wellness,92
event,100
communicable,68
occurrence,32
put,111
forth,33
e.g,86
asthma,184
reproductive,226
obesity,56
diabetes,40
trainings/presentations,24
parents,93
stay,55
abreast,62
statements,149
emerging,136
quality,2076
improvement,421
dohmh,393
trainings,321
continuing,67
classes,46
nationâ€™s,63
largest,699
water,3338
utilities,43
"5,500",19
8,145
residents,884
1,850
upstate,513
billion,1189
gallons,994
per,1133
day,1306
world-class,17
drinking,1041
keep,123
harbor,63
waters,6
clean,619
treating,503
purchase,165
$200 ,14
chemicals,12
operating,382
biosolids,10
waste,103
processing,552
creating,205
strategic,586
sourcing,42
transform,25
define,54
structure,59
operational,474
market,81
interact,64
current,356
vendors,482
goods,147
buy,4
reporting,993
chief,687
officer,286
cfo,22
coordination,501
progress,388
goal,229
achieving,40
significant,175
year-over-year,4
reductions,13
ownership,32
tco,4
maintaining,734
improving,231
product,141
closely,588
key,623
cost-reduction,4
institutionalizing,4
spending,61
areas,635
execution,158
guide,123
major,305
commodities,27
overseeing,324
communicating,91
unit,1733
leaders,105
select,64
suppliers,14
driving,53
relevant,386
supplier,4
selection,74
negotiating,36
based,497
commodityâ€™s,4
establishing,108
measure,46
spend,38
category,19
forecasted,12
vs,4
actual,29
savings,18
budget,991
impact,388
dashboards,58
monitor,581
coordinating,462
overall,233
trends/,4
results,351
productivity,85
improvements,194
ideas,49
categories,26
remaining,11
trends,254
identifying/defining,4
outside,295
widely,10
adopted,15
dep's,19
integrate,86
mindset,6
core,219
units,471
uphold,4
regulations,739
laws,573
applicable,270
e.g.,45
ethics,24
procedures,1098
close,158
contracting,200
attorney,203
respect,82
lawful,25
claiming,13
expenditure,23
federal,545
funding,234
creation,144
base,34
web,182
sites,271
important,168
regulatory,342
updates,190
changes,432
conference,47
calls,165
needed,1074
forestry,17
horticulture,17
natural,80
group,334
urban,166
ecological,16
measures,133
street,212
tree,16
planting,12
greenstreets,19
restoration,30
horticultural,4
focuses,32
stormwater,160
capture,84
priority,144
combined,599
overflow,104
cso,58
tributary,10
primarily,89
parks,198
partnership,142
protectionâ€™s,69
improves,16
function,147
sewer,669
transforms,4
grey,11
space,244
commensurate,4
benefits,182
provides,678
responsibilities:,124
"â€¢	represent",54
relations,157
consultants,326
representatives,71
matters,484
"â€¢	engage",28
complex,667
examinations,151
"â€¢	prepare",138
basic,90
portions,18
remodeling,19
"â€¢	makes",10
interpretive,6
sketches,49
intricate,7
fundamental,2
aspects,274
proposed,160
designs,210
"â€¢	approve",2
premises,38
insure,46
codes,185
resolutions,64
statutes,22
rules,479
modifications,130
recommendations,572
award,61
regard,47
use,872
property,403
surveys,215
"â€¢	when",4
sign,44
seal,38
official,60
documents,937
able,195
demonstrate,68
critical,314
requires,154
communication,324
deadlines,122
flexible,43
conducting,534
feasibility,42
cercla,10
highly,262
desirable,5
proficient,35
software,525
packages,100
gis,170
modeling,132
knowledgeable,23
safe,218
entry,216
haz-mat,6
bureau,2387
safety,1140
ehs,402
port,28
marine,67
section,451
tasked,103
assisting,478
fleet,105
vessels,84
includes,461
scheduling,216
dockside,4
shipyard,4
repairs,266
computerized,38
cmms,25
steward,14
"29,000",6
acres,16
parkland,13
recreation,62
dpr,30
recognized,66
leader,295
innovator,27
spaces,89
partnered,6
construct,22
engineered,17
storm,100
soils,8
require,150
particular,63
specialized,116
care,1372
seasonal,23
park,109
worker,69
edging,9
seeding,9
snow,40
removal,106
cultivating,40
fertilizing,12
trimming,11
sweeping,14
sediments,6
raking,11
litter,19
minor,58
plumbing,66
masonry,11
carpentry,9
metal,21
vehicle,221
vehicles,227
certain,127
motorized,15
checks,84
move,82
furniture,72
climb,13
routine,174
buildings,338
contain,16
boilers,70
burners,19
vacuum,5
tank,51
pumps,69
motors,50
heating,95
2,247
survey,123
conditions,340
superintendent,2
periodic,114
4,96
skill,43
trades,47
emergencies,155
respond,303
heating/hot,6
disruptions,11
travel,170
rotating,27
shifts,45
holidays,53
weekends,59
8:00,14
4:00,8
pm,51
12:00,8
fill,79
surfaces,22
painting,20
mix,8
paint,56
components,175
match,14
colors,17
apply,195
brush,5
roller,3
